index,Furniture,color,x,y,area_x,area_y
0,0,0,0.0,0.0,1,1
1,0,1,1.6453017,1.10196507,2,2
2,0,0,-0.37,1.69120014,1,2
3,0,0,2.072133,2.19786668,2,2
4,1,2,-1.07933342,2.72479987,1,3
5,0,2,-0.187600255,2.52213335,1,3
6,0,3,0.947333157,2.16746664,2,2
7,0,3,0.0,0.0,1,1
8,0,0,1.52848518,0.914545655,2,1
9,0,0,-2.73939323,1.24545491,0,2
10,0,1,0.381958842,2.50309277,2,3
11,8,1,0.0,0.0,1,1
12,2,1,1.1296978,2.696364,2,3
13,5,3,-3.0109086,3.85,0,-1
14,6,2,-1.67878735,1.76303029,1,2
15,3,5,-1.644848,0.931515157,1,1
16,2,4,-2.29818153,1.0248487,0,1
17,2,5,-0.6012114,0.9230302,1,1
18,0,3,0.0,0.0,1,1
19,0,3,0.0,0.0,1,1
20,0,0,0.0,0.0,1,1
21,0,3,0.0,0.0,1,1
22,0,3,0.0,0.0,1,1
23,0,3,0.0,0.0,1,1
24,0,3,0.0,0.0,1,1
25,8,7,0.0,0.0,1,1
26,0,0,-2.23584962,1.78408372,0,2
27,0,0,-4.26199865,3.17,-1,-1
28,0,1,-0.0283443928,1.36024261,1,2
29,0,1,3.45801044,0.050918296,3,1
30,5,3,0.0,3.8,1,-1
31,8,7,0.0,0.0,1,1
32,0,0,-2.4224,2.01519966,0,2
33,1,4,-3.983997,3.5,0,3
34,2,2,-1.1680001,0.3800002,1,1
35,3,3,-0.9103998,2.2167995,1,2
36,5,1,0.4000001,3.5,2,3
37,5,0,2.00159979,3.6055994,2,-1
38,8,2,0.0,0.0,1,1
39,3,3,-0.774444,1.717778,1,2
40,1,4,-1.99555528,3.5,0,3
41,5,4,3.74444413,3.85,3,-1
42,5,0,-4.03999758,3.5,0,3
43,7,2,-0.5255555,1.98222208,1,2
44,8,0,0.0,0.0,1,1
45,2,3,-0.276666284,1.54666638,1,2
46,4,2,0.967777669,2.19222236,2,2
47,8,0,0.0,0.0,1,1
48,4,2,1.47454536,-0.327851176,2,0
49,6,1,2.0844624,2.42421484,2,3
50,6,0,2.99190044,1.66553712,3,2
51,7,2,4.137355,3.13826466,3,3
